SH, 20, 2014031912, 01, CARQ,  -6, 205S, 1593W,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  190,  40,   0,   0,   P,   0,   X, 150,  22,       MIKE, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH202014, JTWC, NCEP_TCVITALS, 
SH, 20, 2014031912, 01, CARQ,   0, 223S, 1584W,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1001,  190,  40,   0,   0,   P,   0,   X, 155,  23,       MIKE, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH202014, JTWC, NCEP_TCVITALS, 
SH, 20, 2014031912, 01, CARQ,   0, 223S, 1584W,  35,  996, XX,  50, NEQ,    0,    0,    0,    0, 1001,  190,  40,   0,   0,   P,   0,   X, 155,  23,       MIKE, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH202014, JTWC, NCEP_TCVITALS, 
SH, 20, 2014031912, 01, CARQ,   0, 223S, 1584W,  35,  996, XX,  64, NEQ,    0,    0,    0,    0, 1001,  190,  40,   0,   0,   P,   0,   X, 155,  23,       MIKE, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH202014, JTWC, NCEP_TCVITALS, 
SH, 20, 2014031912, 03, AVNO, 000, 230S, 1599W,  46,  993, XX,  34, NEQ, 0650, 0345, 0243, 0158
SH, 20, 2014031912, 03, AVNO, 006, 235S, 1600W,  51,  994, XX,  34, NEQ, 0347, 0645, 0277, 0113
SH, 20, 2014031912, 03, AVNO, 006, 235S, 1600W,  51,  994, XX,  50, NEQ, 0000, 0134, 0000, 0000
SH, 20, 2014031912, 03, AVNO, 012, 238S, 1602W,  50,  992, XX,  34, NEQ, 0650, 0645, 0280, 0173
SH, 20, 2014031912, 03, AVNO, 012, 238S, 1602W,  50,  992, XX,  50, NEQ, 0000, 0280, 0000, 0000
SH, 20, 2014031912, 03, AVNO, 018, 249S, 1602W,  48,  992, XX,  34, NEQ, 0650, 0650, 0304, 0140
SH, 20, 2014031912, 03, AVNO, 024, 252S, 1604W,  38,  992, XX,  34, NEQ, 0000, 0645, 0320, 0117
SH, 20, 2014031912, 03, AVNO, 030, 263S, 1602W,  41,  993, XX,  34, NEQ, 0000, 0650, 0293, 0179
SH, 20, 2014031912, 03, AVNO, 036, 277S, 1603W,  45,  992, XX,  34, NEQ, 0000, 0349, 0317, 0183
SH, 20, 2014031912, 03, AVNO, 042, 298S, 1618W,  51,  991, XX,  34, NEQ, 0000, 0650, 0252, 0171
SH, 20, 2014031912, 03, AVNO, 042, 298S, 1618W,  51,  991, XX,  50, NEQ, 0000, 0000, 0062, 0000
SH, 20, 2014031912, 03, AVNO, 048, 303S, 1624W,  52,  988, XX,  34, NEQ, 0118, 0345, 0313, 0137
SH, 20, 2014031912, 03, AVNO, 048, 303S, 1624W,  52,  988, XX,  50, NEQ, 0000, 0000, 0067, 0038
SH, 20, 2014031912, 03, AVNO, 054, 310S, 1614W,  56,  986, XX,  34, NEQ, 0156, 0650, 0342, 0213
SH, 20, 2014031912, 03, AVNO, 054, 310S, 1614W,  56,  986, XX,  50, NEQ, 0000, 0000, 0183, 0000
SH, 20, 2014031912, 03, AVNO, 060, 322S, 1614W,  44,  985, XX,  34, NEQ, 0181, 0350, 0645, 0263
SH, 20, 2014031912, 03, AVNO, 060, 322S, 1614W,  44,  985, XX,  50, NEQ, 0000, 0000, 0000, 0188
SH, 20, 2014031912, 03, AVNO, 066, 329S, 1615W,  37,  987, XX,  34, NEQ, 0212, 0645, 0650, 0256
SH, 20, 2014031912, 03, AVNO, 072, 337S, 1613W,  35,  988, XX,  34, NEQ, 0000, 0645, 0650, 0000
SH, 20, 2014031912, 03, AVNO, 078, 348S, 1614W,  35,  989, XX,  34, NEQ, 0000, 0349, 0650, 0000
SH, 20, 2014031912, 03, AVNO, 084, 357S, 1618W,  37,  988, XX,  34, NEQ, 0000, 0338, 0325, 0000
SH, 20, 2014031912, 03, AVNO, 090, 366S, 1623W,  41,  988, XX,  34, NEQ, 0000, 0345, 0343, 0000
SH, 20, 2014031912, 03, AVNO, 096, 374S, 1634W,  43,  987, XX,  34, NEQ, 0000, 0650, 0336, 0104
SH, 20, 2014031912, 03, AVNO, 102, 379S, 1648W,  47,  987, XX,  34, NEQ, 0088, 0348, 0348, 0162
SH, 20, 2014031912, 03, AVNO, 108, 383S, 1662W,  42,  985, XX,  34, NEQ, 0136, 0645, 0350, 0174
SH, 20, 2014031912, 03, AVNO, 114, 384S, 1673W,  44,  985, XX,  34, NEQ, 0151, 0650, 0343, 0194
SH, 20, 2014031912, 03, AVNO, 120, 385S, 1683W,  40,  986, XX,  34, NEQ, 0189, 0347, 0106, 0188
SH, 20, 2014031912, 03, AVNO, 126, 385S, 1686W,  40,  986, XX,  34, NEQ, 0211, 0000, 0128, 0118
SH, 20, 2014031912, 03, AVNO, 132, 390S, 1682W,  38,  986, XX,  34, NEQ, 0234, 0057, 0000, 0145
SH, 20, 2014031912, 03, AVNO, 138, 396S, 1675W,  33,  987, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 20, 2014031912, 03, AVNO, 144, 404S, 1666W,  34,  987, XX,  34, NEQ, 0057, 0000, 0000, 0000
SH, 20, 2014031912, 03, AVNO, 150, 418S, 1657W,  34,  986, XX,  34, NEQ, 0000, 0000, 0000, 0000
